,Species,Weight,Length1,Length2,Length3,Height,Width,length_in_inches,weightfactor
0,Bream,430.0,26.5,29.0,34.0,12.444,5.134,13.3858,0.89649211305841
1,Perch,110.0,20.0,22.0,23.5,5.5225,3.995,9.251949999999999,0.29601472068384665
2,Roach,160.0,20.5,22.5,25.3,7.0334,3.8203,9.96061,0.36937822122896424
3,Parkki,60.0,14.3,15.5,17.4,6.5772,2.3142,6.8503799999999995,0.12015932137702055
4,Bream,700.0,30.4,33.0,38.3,14.8604,5.2854,15.07871,1.2814629196071345
5,Perch,40.0,13.8,15.0,16.0,3.824,2.432,6.2992,0.09342641194502461
6,Bream,700.0,30.4,33.0,38.5,14.938,5.1975,15.157449999999999,1.3016430702056245
7,Perch,250.0,25.4,27.5,28.9,7.2828,4.5662,11.37793,0.550558218931996
8,Smelt,6.7,9.3,9.8,10.8,1.7388,1.0476,4.25196,0.028733001036155
9,Bream,242.0,23.2,25.4,30.0,11.52,4.02,11.811,0.6158479303016758
10,Bream,925.0,36.2,39.5,45.3,18.7542,6.7497,17.834609999999998,2.120334247480085
11,Whitefish,540.0,28.5,31.0,34.0,10.744000000000002,6.562,13.3858,0.89649211305841
12,Whitefish,270.0,24.1,26.5,29.3,8.1454,4.2485,11.53541,0.5737366365837516
13,Pike,1550.0,56.0,60.0,64.0,9.6,6.144,25.1968,5.979290364481575
14,Bream,500.0,28.7,31.0,36.2,14.3714,4.8146,14.251940000000001,1.0820203620962934
15,Perch,188.0,22.6,24.6,26.2,6.7334,4.1658,10.31494,0.4102169450310592
16,Perch,690.0,34.6,37.0,39.3,10.5717,6.3666,15.472409999999998,1.3844821894798243
17,Bream,500.0,29.1,31.5,36.4,13.7592,4.368,14.33068,1.1000536668097518
18,Smelt,9.9,11.3,11.8,13.1,2.2139,1.1659,5.15747,0.0512771181288824
19,Perch,650.0,36.5,39.0,41.4,11.1366,6.002999999999999,16.29918,1.6184927018837856
20,Perch,85.0,18.2,20.0,21.0,5.082,2.772,8.2677,0.21123584009347487
21,Bream,650.0,31.0,33.5,38.7,14.4738,5.7276,15.23619,1.3220339776513745
22,Parkki,55.0,13.5,14.7,16.5,6.8475,2.3265,6.49605,0.10246169940394134
23,Perch,700.0,34.0,36.0,38.3,10.6091,6.7408,15.07871,1.2814629196071345
24,Perch,1100.0,39.0,42.0,44.6,12.8002,6.8684,17.55902,2.02355166959756
25,Roach,87.0,18.2,19.8,22.2,5.6166,3.1746,8.74014,0.24955636170856635
26,Perch,514.0,30.5,32.8,34.0,10.03,6.018,13.3858,0.89649211305841
27,Perch,70.0,15.7,17.4,18.5,4.588,2.9415,7.28345,0.14441919080356844
28,Smelt,7.5,10.0,10.5,11.6,1.972,1.16,4.56692,0.03560276188948757
29,Perch,115.0,19.0,21.0,22.5,5.9175,3.3075,8.85825,0.2598108455960196
30,Bream,340.0,23.9,26.5,31.1,12.3778,4.6961,12.24407,0.6861054816424562
31,Perch,100.0,16.2,18.0,19.2,5.2224,3.3216,7.5590399999999995,0.1614408398410025
32,Parkki,150.0,18.4,20.0,22.4,8.8928,3.2928,8.81888,0.25636207437714753
33,Smelt,9.7,10.4,11.0,12.0,2.196,1.38,4.7244,0.03941426753930726
34,Perch,110.0,19.0,21.0,22.5,5.6925,3.555,8.85825,0.2598108455960196
35,Pike,567.0,43.2,46.0,48.7,7.792000000000002,4.87,19.17319,2.63449031109988
36,Pike,770.0,44.8,48.0,51.2,7.68,5.376,20.15744,3.0613966666145673
37,Bream,714.0,32.7,36.0,41.5,16.517,5.8515,16.33855,1.630249261682428
38,Perch,145.0,20.7,22.7,24.2,5.9532,3.63,9.52754,0.3232628667416792
39,Bream,363.0,26.3,29.0,33.5,12.73,4.4555,13.18895,0.8575197734320507
40,Perch,265.0,25.4,27.5,28.9,7.0516,4.335,11.37793,0.550558218931996
41,Perch,1000.0,40.2,43.5,46.0,12.604,8.142000000000001,18.1102,2.220154597920145
42,Bream,600.0,29.4,32.0,37.2,15.438,5.58,14.64564,1.1741904442635025
43,Pike,950.0,48.3,51.7,55.1,8.9262,6.1712,21.69287,3.8156147468749273
44,Perch,840.0,32.5,35.0,37.3,11.4884,7.7957,14.685009999999998,1.1836851998967892
45,Bream,450.0,26.8,29.7,34.7,13.6024,4.9274,13.66139,0.9530115112434813
46,Bream,500.0,28.5,30.7,36.2,14.2266,4.9594,14.251940000000001,1.0820203620962934
47,Bream,685.0,31.4,34.0,39.2,15.9936,5.3704,15.43304,1.3739404923650251
48,Pike,456.0,40.0,42.5,45.5,7.28,4.3225,17.91335,2.1485423179877974
49,Smelt,19.7,13.2,14.3,15.2,2.8728,2.0672,5.98424,0.08010146994136547
50,Smelt,10.0,11.3,11.8,13.1,2.2139,1.2838,5.15747,0.0512771181288824
51,Parkki,273.0,23.0,25.0,28.0,11.088,4.144,11.0236,0.5007071765178663
52,Pike,300.0,31.7,34.0,37.8,5.7078,4.158,14.881859999999998,1.2319274194251448
53,Perch,150.0,20.5,22.5,24.0,6.792000000000002,3.624,9.4488,0.3153141403144581
54,Perch,850.0,36.9,40.0,42.3,11.9286,7.1064,16.653509999999997,1.7263578510281936
55,Bream,290.0,24.0,26.3,31.2,12.48,4.3056,12.283439999999999,0.6927451662708641
56,Roach,180.0,23.6,25.2,27.9,7.0866,3.906,10.98423,0.49536159367366517
57,Perch,218.0,25.0,26.5,28.0,7.167999999999998,4.144,11.0236,0.5007071765178663
58,Pike,540.0,40.1,43.0,45.8,7.786,5.1296,18.03146,2.1913217839009165
59,Pike,500.0,42.0,45.0,48.0,6.96,4.896,18.8976,2.5225131225156647
60,Bream,920.0,35.0,38.5,44.1,18.0369,6.3063,17.36217,1.9562551151056704
61,Perch,170.0,21.5,23.5,25.0,6.275,3.725,9.8425,0.3563934781838402
62,Smelt,8.7,10.8,11.3,12.6,1.9782,1.2852,4.96062,0.045626941460190557
63,Perch,1100.0,40.1,43.0,45.5,12.5125,7.4165,17.91335,2.1485423179877974
64,Perch,820.0,36.6,39.0,41.3,12.4313,7.3514,16.259809999999998,1.6067928000947314
65,Roach,150.0,20.4,22.0,24.7,5.8045,3.7544,9.72439,0.343716659103867
66,Perch,700.0,34.5,37.0,39.4,10.835,6.2646,15.51178,1.3950776706472043
67,Roach,390.0,29.5,31.7,35.0,9.485,5.355,13.7795,0.9779437041364577
68,Bream,340.0,29.5,32.0,37.3,13.9129,5.0728,14.685009999999998,1.1836851998967892
69,Perch,150.0,21.0,23.0,24.5,5.2185,3.626,9.64565,0.3354346905188049
70,Bream,975.0,37.4,41.0,45.9,18.6354,6.7473,18.07083,2.2057067826660854
71,Roach,40.0,12.9,14.1,16.2,4.1472,2.268,6.37794,0.09697387849702309
72,Perch,120.0,20.0,22.0,23.5,5.64,3.525,9.251949999999999,0.29601472068384665
73,Pike,430.0,35.5,38.0,40.5,7.29,4.5765,15.94485,1.5152168515159863
74,Perch,260.0,25.4,27.5,28.9,7.1672,4.335,11.37793,0.550558218931996
75,Parkki,145.0,19.8,21.5,24.1,9.7364,3.1571,9.48817,0.31927201248904613
76,Whitefish,270.0,23.6,26.0,28.7,8.3804,4.2476,11.29919,0.5392068642623102
77,Bream,680.0,31.8,35.0,40.6,15.4686,6.1306,15.98422,1.52646841601178
78,Smelt,9.8,11.4,12.0,13.2,2.2044,1.1484,5.19684,0.052460390094817955
79,Perch,125.0,19.0,21.0,22.5,5.6925,3.6675,8.85825,0.2598108455960196
80,Perch,900.0,36.5,39.0,41.4,11.1366,7.4934,16.29918,1.6184927018837856
81,Roach,272.0,25.0,27.0,30.6,8.568,4.7736,12.047220000000001,0.653542750419581
82,Bream,450.0,27.6,30.0,35.1,14.0049,4.8438,13.81887,0.9863500511942583
83,Roach,145.0,20.5,22.0,24.3,6.6339,3.5478,9.56691,0.32728683992745294
84,Pike,1250.0,52.0,56.0,59.7,10.6863,6.9849,23.503890000000002,4.853250583687458
85,Perch,1000.0,39.8,43.0,45.2,11.9328,7.2772,17.79524,2.106323273691253
86,Bream,700.0,31.9,35.0,40.5,16.2405,5.589,15.94485,1.5152168515159863
87,Pike,300.0,34.8,37.3,39.8,6.2884,4.0198,15.66926,1.4380001729444314
88,Roach,160.0,21.1,22.5,25.0,6.4,3.8,9.8425,0.3563934781838402
89,Parkki,200.0,21.2,23.0,25.8,10.3458,3.6636,10.15746,0.3917137711559628
90,Bream,720.0,32.0,35.0,40.6,16.3618,6.09,15.98422,1.52646841601178
91,Roach,290.0,24.0,26.0,29.2,8.8768,4.4968,11.496039999999999,0.5678822264940255
92,Roach,69.0,16.5,18.2,20.3,5.2983,2.8217,7.99211,0.1908085520014725
93,Roach,169.0,22.0,24.0,27.2,7.5344,3.8352,10.708639999999999,0.45900396188590575
94,Pike,345.0,36.0,38.5,41.0,6.396,3.977,16.1417,1.5720316742341411
95,Smelt,9.8,10.7,11.2,12.4,2.0832,1.2772,4.88188,0.043488534972722315
96,Parkki,300.0,24.0,26.0,29.0,11.368,4.234,11.4173,0.5562931545232435
97,Roach,161.0,22.0,23.4,26.7,6.9153,3.6312,10.51179,0.43415369957684213
98,Perch,300.0,25.2,27.3,28.7,8.323,5.1373,11.29919,0.5392068642623102
99,Smelt,13.4,11.7,12.4,13.5,2.43,1.269,5.31495,0.0561191426487402
100,Whitefish,1000.0,37.3,40.0,43.5,12.354,6.525,17.12595,1.8774893965159465
101,Bream,1000.0,33.5,37.0,42.6,18.957,6.603,16.77162,1.7633499886576245
102,Perch,120.0,20.0,22.0,23.5,6.11,3.4075,9.251949999999999,0.29601472068384665
103,Perch,320.0,27.8,30.0,31.6,7.6156,4.7716,12.44092,0.7197322612337965
104,Perch,900.0,37.0,40.0,42.5,11.73,7.225,16.73225,1.750961158317207
105,Perch,5.9,7.5,8.4,8.8,2.112,1.408,3.46456,0.01554381928735347
106,Perch,197.0,23.5,25.6,27.0,6.561,4.239,10.6299,0.4489531411899216
107,Parkki,140.0,19.0,20.7,23.2,8.5376,3.2944,9.13384,0.28482209511590056
108,Roach,110.0,19.1,20.8,23.1,6.1677,3.3957,9.094470000000001,0.28115490316441516
109,Perch,685.0,34.0,36.5,39.0,10.880999999999998,6.864,15.3543,1.3530179028727818
110,Perch,300.0,26.9,28.7,30.1,7.5852,4.6354,11.85037,0.6220269606782187
